id,contract_price,date_of_publication,procurement_name,place_of_performance,system_number,contracting_authority_id,supplier_id,date_of_contract_close
4173,1669860.00,2023-07-26,FZŠ - Termokamery,Ústecký kraj,N006/23/V00020897,252,2358,
3828,1872833.06,2021-03-02,Nájem administrativní budovy v k.ú. Bezděčín u Mladé Boleslavi,,N006/21/V00005188,50,2895,
3829,5000000.00,2020-08-31,Bezhotovostní odběr pohonných hmot prostřednictvím karet pro roky 2020-2024,Pardubický kraj Pardubický kraj,N006/20/V00019872,212,1095,
3830,3120000.00,2020-07-03,Nájem pozemku st.p.č. 1625/1 a stavby bez čp. k.ú. Sadská 2020-2024,,N006/20/V00016800,50,2896,
3831,65445.00,2023-09-08,Kancelářské židle 2023,Česká republika,N006/23/V00021530,399,287,
3832,113829.75,2023-08-08,Spotřební materiál k systému Thomson,Královéhradecký kraj,N006/23/V00022210,4,1367,
3833,4180.00,2023-09-08,DP č. 2 nákup plynů k RD č. 22105002274,Olomoucký kraj,N006/23/V00024834,4,1713,
3834,1950000.00,2023-06-27,Projektová dokumentace - výstavba pracoviště radio-izotopické laboratoře a Vivaria,Královéhradecký kraj,N006/23/V00018284,4,443,
3835,26081419.00,2022-01-25,Sociální služby Olšany - chráněné bydlení,Olomoucký kraj,N006/22/V00001558,417,2897,
3836,15300.00,2023-07-11,DNS -Dodávka pelet pro kotelny hotelů Solenice a Vltava – VÝZVA v DNS č. 4,Středočeský kraj,N006/23/V00017097,119,2902,
3837,2094.00,2023-07-27,originální modrý toner HP Color,Hlavní město Praha,N006/23/V00021096,24,808,
3838,1537243.77,2023-03-14,Dodávka PZTS pro Okresní soud v Trutnově,Královéhradecký kraj,N006/23/V00006899,418,96,
3839,3593955.06,2023-08-15,Oprava fasády kasárna Dědice,Jihomoravský kraj,N006/23/V00022807,4,512,
3840,1698300.00,2023-09-08,Poskytnutí licencí a implementace ekonomického informačního systému,Hlavní město Praha,N006/23/V00021780,35,2905,
3841,23040.00,2019-10-08,Konektivita do internetu pro vybrané objekty – Stanice Milovice,Středočeský kraj,N006/19/V00028797,12,112,
3842,18054.00,2023-07-26,Nákup duší,Olomoucký kraj,N006/23/V00020999,4,599,
3843,41000.00,2023-07-19,Instalace pódia s ozvučením,Česká republika,N006/23/V00018510,4,2907,
3844,2562.00,2023-09-08,"DP č. 6 k RD-Údržba, servis, oprava, technická kontrola a měření emisí vozidel nad 3,5 tuny - kopie",Česká republika,N006/23/V00024380,4,210,
3845,65110.00,2023-07-26,Nákup odmašťovacích prostředků,Olomoucký kraj,N006/23/V00020990,4,1427,
3846,68906518.40,2023-06-12,"Podpora, servis a rozvoj Aplikace NEN a Aplikace RVZ",Česká republika,N006/23/V00016591,223,1060,
3847,730000.00,2023-09-08,"Digitalizace, vektorizace a fotogrammetrie - terénní dokumentace archeologických výzkumů - kopie",Moravskoslezský kraj,N006/23/V00024077,17,2908,
3848,2562.00,2023-09-08,"DP č. 5 k RD-Údržba, servis, oprava, technická kontrola a měření emisí vozidel nad 3,5 tuny",Česká republika,N006/23/V00024350,4,210,
3849,18600.00,2023-08-14,Prodloužení licence SW SolidWorks,Česká republika,N006/23/V00019014,4,2909,
3850,5959595.00,2023-03-07,"VZ Nový Ples - Modernizace tepelných zdrojů budov č. 15-01, 15-02, 16-01, 16-02, 16-03, 13",Královéhradecký kraj,N006/23/V00003694,93,1003,
3851,18186.80,2023-08-30,Nákup xerografického papíru,Ústecký kraj,N006/23/V00022629,41,327,
3852,31516.36,2023-08-23,Nákup - Myčka nádobí a tablety do myčky,Karlovarský kraj,N006/23/V00023491,4,37,
3853,627400.00,2023-09-08,MV - Brno - Rekonstrukce dřevěného opláštění budovy - IV,Jihomoravský kraj,N006/23/V00021175,155,2910,
3854,49725.00,2023-01-16,Nákup čisticích prostředků,Česká republika,N006/23/V00001094,59,127,
3855,58857430.00,2023-01-09,JEDNOTNÝ SYSTÉM BEZPEČNOSTNÍHO DOHLEDU,Česká republika,N006/23/V00000187,22,2911,
3856,55200.00,2023-09-08,Balistická hlaveň 23442/2023-HA,Jihomoravský kraj,N006/23/V00023782,4,2912,
3857,1929291.00,,HS Vyškov – oprava plynových kotlů výměnou,Jihomoravský kraj,N006/23/V00015722,14,1003,
3858,9000.00,2023-05-23,Šatní lavice - kovový nábytek 2023,Česká republika,N006/23/V00005458,399,1092,
3859,1680000.00,2022-03-03,Terminál B - technický dozor investora,Pardubický kraj,N006/22/V00004737,5,498,
3860,826446.28,2023-07-27,Nákup leteckého simulačního zařízení pro testování lidské výkonnosti pilotů 23295/2023-PA,Jihomoravský kraj,N006/23/V00021064,4,2914,
3861,1847486.59,2023-01-11,Rekonstrukce zastávky MHD - Lexova - směr Dukla - realizace,Pardubický kraj,N006/22/V00026415,5,75,
3862,636000.00,2023-08-23,Nákup multikanálového analyzátoru 23143/2023-PA,Jihomoravský kraj,N006/23/V00023503,4,2915,
3863,1447362.50,2023-09-08,Oprava vodovodu Lažany,,N006/23/V00025026,419,2438,
3864,2820000.00,2023-03-20,Jednotná komunikační sběrnice a API management,Hlavní město Praha,N006/23/V00006611,301,2916,
3865,140927.77,2023-09-08,MT 39019/ÚP85/LÚ7/PČ,Jihočeský kraj,N006/23/V00023844,11,2918,
3866,1196047.50,2023-09-08,MT 38 399/ÚP85/LÚ5/TČ,Jihočeský kraj,N006/23/V00023859,11,2919,
3867,1293870.00,2021-09-25,Údržba dlážděných ploch v areálu SPZ Holešov,Zlínský kraj,N006/21/V00025371,420,1009,
3868,1015000.00,2023-09-08,Obnova veřejných prostranství ve Skutči - Zhotovení PD,,N006/23/V00025024,421,2922,
3869,1279680.00,2023-07-31,Zajištění školení na kybernetickou bezpečnost formou LMS (Learning Management System) a provedení simulace phishingových útoků,Hlavní město Praha,N006/23/V00020195,301,2923,
3870,25894317.11,2023-07-31,Odkanalizování a likvidace odpadních vod Manerov,Jihomoravský kraj,N006/23/V00021319,422,2099,
3871,72963.84,2023-09-08,Objednávka č. 4 k RD 253/2023-SEV,Jihomoravský kraj,N006/23/V00023814,4,2926,
3872,9951000.00,2023-06-19,Anesteziologické přístroje,Liberecký kraj,N006/23/V00017285,382,1752,
3873,4725000.00,2023-09-05,"Telekomunikační služby - nájem optických vláken rezortu obrany - Brandýs nad Labem, Stará Boleslav",Hlavní město Praha,N006/23/V00018878,4,111,
3874,29386704.74,2022-03-21,Výstavba centra pro charitní služby,Jihomoravský kraj,N006/22/V00006407,423,469,
3875,1252551.00,2023-09-07,"Slovácké muzeum. UH, p.o. – rekonstrukce a modernizace elektrického požárního systému hlavní budovy SM (EPS)",Zlínský kraj,N006/23/V00025012,309,94,
3876,924000.00,2023-07-19,Přístroj pro vysoko - indukční elektromagnetickou stimulaci - kopie,Královéhradecký kraj,N006/23/V00020431,258,1734,
3877,238150.00,2023-05-15,Zvedák do rehabilitačního bazénu,Královéhradecký kraj,N006/23/V00013280,258,2927,
3878,172000.00,2023-08-07,Vertikální stojan včetně 12 metabolických klecí a podpory pro jejich usazení,Královéhradecký kraj,N006/23/V00022068,4,2928,
3879,1477900.00,2023-07-20,ZZS ZK – vozidlo RV pro oblast Uherské Hradiště 2023,Zlínský kraj,N006/23/V00020558,424,2930,
3880,69916960.00,2023-07-03,ZZS ZK – sanitní vozidla pro ZZS ZK,Zlínský kraj,N006/23/V00019054,424,204,
3881,77300000.00,2023-06-05,Modernizace informačního systému a technologií zdravotnického operačního střediska ZZS ZK,Zlínský kraj,N006/23/V00015827,424,2621,
3882,1268752.00,2023-04-17,Bezvýkopová oprava dešťové kanalizace (zahrady),,N006/23/V00010501,425,2931,
3883,888484.59,2023-08-07,Výzva č.8 k RD 22106000315 Pandur II,Česká republika,N006/23/V00021201,4,1386,
3884,33456789.00,2019-02-11,„Rekreační území -východ“,Ústecký kraj,N006/19/V00002184,42,1608,
3885,48990.00,2023-07-19,Záchytné vany,Středočeský kraj,N006/23/V00020421,4,189,
3886,320735.00,2023-08-15,RD - Rámcová dohoda - Servis a oprava systému KREDIT,Olomoucký kraj,N006/23/V00022839,4,285,
3887,52962970.46,2022-07-01,"Krajská nemocnice T. Bati, a.s. Budova 23 - Stavební úpravy 2 operačních sálů s vybudováním dospávání v 2.NP COS",Zlínský kraj,N006/22/V00017389,28,278,
3888,1455000.00,2023-06-30,ÚVN – VoFN Praha – Zdravotnická technika – nákup - část 9 - Přístroj ECT,Hlavní město Praha,N006/23/V00018494,126,2934,
3889,516309.20,2023-06-08,Odvodnění a zpevnění komunikace Horní Teplice,,N006/23/V00016362,104,619,
3890,2376070.00,2023-08-07,Výzva č.7 k RD 22106000315 Pandur II,Česká republika,N006/23/V00021173,4,1386,
3891,55005.00,2023-08-15,"PS 0624 - Odstranění náletových dřevin, Mycí můstky, VVP Březina.",Jihomoravský kraj,N006/23/V00002034,4,1329,
3892,234770000.00,2023-01-31,Přístavba jižního křídla budovy D – Rehabilitační ústav Kladruby,Středočeský kraj,N006/23/V00002359,426,2713,
3893,3081200.00,2023-07-14,World Nuclear Exhibition Paris 2023,Extra-Regio,N006/23/V00019754,353,2659,
3894,10800.00,2023-09-07,Znalecký posudek - k. ú. Bělčice u Ostředka,Středočeský kraj,N006/23/V00021747,38,598,
3895,93039.00,2021-10-06,"VPŠ a SPŠ MV v Praze, Pod Táborem 102/5, 190 24 Praha-9 – Zajištění tiskových služeb dle RS MV-50113-150/VZ-2015",Česká republika,N006/21/V00025712,122,69,
3896,1924693.00,2023-07-26,Plynový chromatograf,Hlavní město Praha,N006/23/V00020826,259,2942,
3897,4119000.00,2023-09-05,Telekomunikační služby - nájem optických vláken rezortu obrany - Bochoř,Hlavní město Praha,N006/23/V00019639,4,872,
3898,694658.77,2023-08-21,Rekonstrukce místních komunikací v ulici Ke Hřišti a Luční - Dobronín,,N006/23/V00023311,170,79,
3899,72048.71,2023-09-07,DP č.8 k RD opravy kabelových svazků,Pardubický kraj,N006/23/V00024525,4,2024,
3900,9205.00,2023-09-07,"Praní a čištění prádla, tkanin, lůžkovin a pracovních oděvů",Olomoucký kraj,N006/23/V00017225,4,980,
3901,99173553.72,2023-09-01,Servisní podpora motorů pro letouny L-410,Hlavní město Praha,N006/23/V00003537,4,2945,
3902,6700.00,2023-07-28,Objednávka 23225010007,Česká republika,N006/23/V00021192,4,428,
3903,568000.00,2023-03-10,Výroba a montáž výplní okenních otvorů na zámku Poběžovice,Plzeňský kraj,N006/23/V00006654,16,2946,
3904,17355371.90,2022-04-11,Speciální výjezdová dodávková vozidla 4x4 pro převoz nalezené munice - Rámcová dohoda,Hlavní město Praha,N006/22/V00006974,26,2472,
3905,211150.00,2023-09-07,NKP SH Trosky – Oprava střešní krytiny na věži Panna,,N006/23/V00015634,17,2947,
3906,279256.00,2023-08-14,Nákup datového úložiště SMD,Středočeský kraj,N006/23/V00022716,359,594,
3907,850000.00,2023-03-16,Automobil s pravostranným řízením,Česká republika,N006/23/V00007060,26,1471,
3908,866925.62,2023-03-28,Dodávkové vozidlo,Hlavní město Praha,N006/23/V00008445,26,2948,
3909,26167292.00,2023-09-07,Dodávky osobních vozidel v komerčním provedení z RD - Kodiaq bez VRZ,Česká republika,N006/23/V00008786,26,2827,
3910,2000.00,2023-08-08,V 129 - Kapalina do ostřikovačů - zimní,Zlínský kraj,N006/23/V00022089,4,2949,
3911,4373600.00,2023-04-11,Pytle na prádlo,Jihomoravský kraj,N006/23/V00007203,4,2950,
3912,94951.50,2023-09-07,SH Křivoklát - Nákup svítidel do expozice,,N006/21/V00028812,17,2951,
3913,12562810.00,2023-09-07,Dodávky osobních vozidel v komerčním provedení z RD - část A- Kodiaq vč. VRZ,Česká republika,N006/23/V00008804,26,2827,
3914,17968.02,2023-09-07,Výzva č. 2,Česká republika,N006/23/V00024365,4,1830,
3915,2898855.00,2022-07-14,"Klínec – intenzifikace ČOV na 1400 EO, 2. zveřejnění",Středočeský kraj,N006/22/V00018147,299,2952,
3916,1999500.00,2023-06-28,Vzorový prototyp policejního mikrobusu DN 4x4,Česká republika,N006/23/V00018477,26,2472,
3917,120000000.00,2022-12-27,Služby reklamních agentur a tvorba audiovizuálních děl,Česká republika,N006/22/V00034326,25,2954,
3918,28810912.74,2023-04-13,Statické zajištění a realizace ucelené části krovu objektu hospodářského dvora SZ Zákupy,Liberecký kraj,N006/23/V00003715,17,2120,
3919,7301089.71,2022-11-30,Odborné učiliště Kelč - Vestavba odborných učeben v objektu bývalé kotelny,Zlínský kraj,N006/22/V00032648,427,2960,
3920,139200.00,2023-09-07,SH Křivoklát - Pořízení systému na monitorování vlhkosti a teploty,,N006/21/V00028816,17,2966,
3921,1990000.00,2021-05-11,"„VPŠ a SPŠ MV v Praze, Pod Táborem 102/5, 190 24 Praha-9 – „Rámcová dohoda na dodávky a montáže podlahových krytin“.",Hlavní město Praha,N006/21/V00011692,122,1156,
3922,12084.24,2023-08-22,Kalendáře a diáře na rok 2024 pro Krajský soud v Hradci Králové - Spr 3074/2023,Královéhradecký kraj,N006/23/V00023285,51,329,
3923,21074.38,2023-08-21,V 140 - Oprava vozidla Fabia combi 1.4 D 77 kW,Zlínský kraj,N006/23/V00023160,4,1013,
3924,1296694.00,2023-07-11,Výcvikové vozidlo (autobus) z FZŠ,Česká republika,N006/23/V00019509,26,2663,
3925,36000000.00,2021-12-20,Speciální kontejnery pro přepravu výbušnin,Hlavní město Praha,N006/21/V00033545,26,1881,
3926,639305.00,2023-05-16,Výměna podlahové krytiny v ZŠ a MŠ - 2023 II,,N006/23/V00013451,170,2968,
3927,5000000.00,2016-12-07,"Zajištění podpory provozu a rozvoje aplikace ""Památkový katalog""",,N006/16/V00001875,17,2969,
3928,1099182.96,2023-08-02,PS 0135 – Oprava vnějšího oplocení,Středočeský kraj,N006/23/V00020925,4,2970,
3929,1010759.85,2023-04-13,Nákup užitkového vozidla,Pardubický kraj,N006/23/V00010033,428,2023,
3930,129800.00,2023-09-07,SH Křivoklát - oprava pilíře královského paláce,,N006/23/V00023198,17,2973,
3931,8400.00,2023-09-07,SH Křivoklát - fixace dvou kamenných bloků na ochozu pod velkou věží,,N006/23/V00023200,17,2973,
3932,634005.00,2023-08-10,PS 0344 – Oprava mříží zbrojního skladu Radošov,Karlovarský kraj,N006/23/V00021690,4,1755,
3933,8087785.12,2022-11-03,DODÁVKA 20 KS HYBRIDNÍCH AUTOMOBILŮ,Pardubický kraj,N006/22/V00029052,429,926,
3934,41200.00,2023-09-07,SH Křivoklát - lokální oprava královnina paláce,,N006/23/V00023199,17,2973,
3935,1509000.00,2023-07-20,Mobilní oplocení a mobilní plastové zábrany II,Středočeský kraj,N006/23/V00020564,4,188,
3936,82625.00,2023-08-16,PS 0135 - Sanace a čištění trativodu požární nádrže - SLMT Hlavenec,Středočeský kraj,N006/23/V00022189,4,1329,
3937,537000.00,2023-09-07,Databázová platforma pro laboratoře Lidské motoriky a Dietologie CASRI,Hlavní město Praha,N006/23/V00022548,230,2975,
3938,964614.00,2023-09-07,Gymnázium Zlín – Lesní čtvrť – oprava střešní krytiny,,N006/23/V00024930,430,2976,
3939,2393000.00,2023-09-07,PS 0308 - Statické zajištění střešního pláště,,N006/23/V00024914,4,2977,
3940,16115000.00,2022-02-14,Spektrometr nukleární magnetické rezonance (NMR) s příslušenstvím,Hlavní město Praha,N006/22/V00003141,431,2980,
3941,56160.00,2021-10-11,Zajištění individuální jazykové výuky,Česká republika,N006/21/V00026843,94,2982,
3942,1440440.13,2022-07-29,Výměna střešní krytiny u objektu České Žleby č.p. 2,Jihočeský kraj,N006/22/V00018754,11,1949,
3943,466800.00,2023-08-10,SZ Litomyšl – dodávka malotraktoru,Pardubický kraj,N006/23/V00012683,17,2983,
3944,3135000.00,2022-03-21,SH Veveří - Brána čtyř staletí - PD,Jihomoravský kraj,N006/22/V00003605,17,2984,
3945,402550.00,2023-04-25,SZ Kunštát - obnova truhlářských prvků v Dlním zámku,,N006/23/V00011335,17,2985,
3946,5950413.22,2020-12-29,Výzva k uzavření kupní smlouvy na bezhotovostní odběr PHM formou karet pro roky 2020 až 2024,Česká republika,N006/20/V00021376,37,1095,
3947,563950.00,2023-08-04,"Dodání NTB, PC a monitory",Hlavní město Praha,N006/23/V00021891,24,696,
3948,64800.00,2023-09-07,Zajištění individuální jazykové výuky,Česká republika,N006/23/V00024931,94,2982,
3949,2182376.90,2022-08-30,Výměna střešní krytiny u objektu České Žleby 37,Jihočeský kraj,N006/22/V00022435,11,2986,
3950,1709415.33,2022-09-29,Výměna střešní krytiny na objektu Filipova Huť 78,Plzeňský kraj,N006/22/V00022815,11,2989,
3951,1691948.00,2023-08-08,Horkovodní přípojka pro BD U Lesa vč. VS,Jihočeský kraj,N006/23/V00021899,432,2990,
3952,56160.00,2023-09-07,Zajištění individuální jazykové výuky,Česká republika,N006/22/V00022727,94,2982,
3953,9600.00,,"ZP - Starý Plzenec, budova č.p.217 a pozemek p.č. st.106/1",Plzeňský kraj,N006/23/V00017347,38,2772,
3954,604500.00,2023-09-07,Poskytnutí grafických služeb,Královéhradecký kraj,N006/23/V00022887,369,2992,
3955,899000.00,2023-06-08,"PD, výkon IČ, AD a koordinátora BOZP ""Energetické úspory Albrechtova střední škola, Český Těšín“",Moravskoslezský kraj,N006/23/V00016325,101,1209,
3956,64887888.06,2022-08-04,"Vybudování výcvikového střediska – Jihlava, areál Komárovice",Kraj Vysočina,N006/22/V00020273,26,1165,
3957,741590.00,,Servis radiových bodů,Středočeský kraj,N006/21/V00006930,12,2996,
3958,68.30,2021-02-05,Zajištění ostrahy objektů r. 2021-2025,Plzeňský kraj,N006/21/V00002739,37,2997,
3959,756100.00,2023-09-07,Gymnázium Zlín – Lesní čtvrť – pořízení konvektomatu,,N006/23/V00024903,430,2159,
3960,1224297.60,2021-04-08,Poskytování služeb v oblasti ostrahy majetku v SPZ Holešov,Zlínský kraj,N006/21/V00008159,420,177,
3961,249760.00,2023-08-03,Mobilní telefony,Středočeský kraj,N006/23/V00021818,12,218,
3962,5507074.63,2023-09-07,Oprava obrusné vrstvy živičného krytu vozovky v obci Staříč,,N006/23/V00024893,433,3006,
3963,197464460.32,2023-03-15,"Letiště Leoše Janáčka Ostrava, výstavba odbavovací plochy APN S3",Moravskoslezský kraj,N006/23/V00007100,101,318,
3964,514469886.45,2019-12-23,Výběr zhotovitele rekonstrukce a přístavby budovy Stálé mise New York,Česká republika Zahraničí,N006/19/V00021508,74,3008,
3965,112000.00,2023-09-07,Výroba trezorové vitríny pro výstavu Nejstarší šperky a ozdoby těla,Česká republika,N006/23/V00022257,24,3010,
3966,17930.08,2023-08-25,PBTK defibrilátor a monitor Tempus a Philips Intellivue MP2,Plzeňský kraj,N006/23/V00023763,4,2133,
3967,1830000.00,2023-06-09,SMV SO3 I 5001 2023,Hlavní město Praha,N006/23/V00016072,46,1471,
3968,13988.15,2022-05-12,Zajištění úklidu v Technologickém parku Progress Holešov,Zlínský kraj,N006/22/V00011770,420,3011,
3969,252238.76,2023-07-12,Nákup polního nábytku,Olomoucký kraj,N006/23/V00019676,4,780,
3970,256750.00,2023-08-14,PS 0014 - Oprava ZTI,Hlavní město Praha,N006/23/V00022187,4,920,
3971,1463902.00,2022-06-13,Pořízení workoutových sportovišť,Hlavní město Praha,N006/22/V00015057,32,3014,
3972,8070.00,2023-09-07,Geodetické práce v k.ú. Žatčany,Česká republika,N006/23/V00018652,38,2010,
3973,420000.00,2019-10-22,"VPŠ a SPŠ MV v Praze, Pod Táborem 102/5, 190 24 Praha-9 – Rámcová dohoda (dále též jen „RD“) na provádění revizí elektrické instalace budov, revize hromosvodového zařízení budov, revize elektrických spotřebičů a nářadí – 2. kolo",Hlavní město Praha,N006/19/V00030524,122,3016,
3974,844546.93,2023-07-25,Nákup IT techniky 23144/2023-KL,Jihomoravský kraj,N006/23/V00020292,4,3020,
3975,2058300.00,2023-08-07,"23365/2023-SE, Oprava drsnoměru Talysurf CLI 1000",Jihomoravský kraj,N006/23/V00021290,4,3021,
3976,10033057.85,2020-08-24,Bezhotovostní odběr pohonných hmot prostřednictvím karet,Liberecký kraj,N006/20/V00020235,160,1095,
3977,4132000.00,2023-04-06,Rámcová dohoda na grafické práce a úpravy vizuálů pro marketingové aktivity agentury CzechTourism,Česká republika,N006/23/V00003366,240,3022,
3978,1873733.00,2023-07-12,Aktuální problematika vodovodů a kanalizací 2023,Extra-Regio,N006/23/V00019078,353,3033,
3979,69668.51,2023-09-07,Objednávka č. 7 k RD č. 391/2023-MA Přeprava autobusy,Jihomoravský kraj,N006/23/V00024196,4,634,
3980,55927.00,2023-05-18,Nákup OOPP SVS KVS pro Královéhradecký kraj,Česká republika,N006/23/V00013791,434,237,
3981,1294958.00,2023-09-07,MT 39021/ÚP82/LÚ2/TČ,Plzeňský kraj Plzeňský kraj Plzeňský kraj,N006/23/V00024199,11,35,
3982,31983311.67,2023-06-23,Přístavba ZŠ,Kraj Vysočina,N006/23/V00018114,390,536,
3983,71830.00,2023-07-21,Nákup visacích zámků dle VŘ ev.č.: SpMO 40484/2023-4854,Česká republika,N006/23/V00020590,4,1633,
3984,90608.11,2023-06-22,Nákup kynologického vybavení,Kraj Vysočina,N006/23/V00017953,4,57,
3985,13840.00,2023-07-28,Dodávka panelů balistických TBO5 CZ - 2023,Pardubický kraj,N006/23/V00020067,75,1934,
3986,3850.00,2023-09-07,"Sběr, přeprava a odstranění odpadů v roce 2023",Olomoucký kraj,N006/23/V00021629,4,3039,
3987,22800.00,2023-09-07,Znalecký posudek v k.ú. Chrlice,Česká republika,N006/23/V00020904,38,260,
3988,80839.80,2023-09-07,DP č.16 RD 137991/2022-8660 Závodní stravování formou stravovacích poukázek na období 1. 7. 2022 - 30. 6. 2024,Jihomoravský kraj,N006/23/V00024734,4,66,
3989,3793.39,2023-09-07,Objednávka č. 36 k RD 188/2022-VLCH,Jihomoravský kraj,N006/23/V00024201,4,595,
3990,15426.00,2023-09-07,Objednávka č. 48 RD 250/2022-BR Praní a čištění v civilním sektoru,Jihomoravský kraj,N006/23/V00024553,4,641,
3991,699840.00,2023-09-05,21.DP RD 21105002143 Smluvní stravovaní formou poukázek - srpen 2023,Královéhradecký kraj,N006/23/V00024451,4,66,
3992,172779.36,2023-03-28,Svoz a odstraňování odpadů pro pracoviště ČIŽP OI Liberec II,Liberecký kraj,N006/23/V00008594,110,3040,
3993,1044000.00,2023-07-27,Obuv zásahová (bez protipořezu),Jihomoravský kraj,N006/23/V00020870,14,1086,
3994,8384.64,2023-09-07,"1. DP - RD běžné opravy, servisní prohlídky autobusů zn. KAROSA, IVECO v roce 2023-31.08.2024",Česká republika,N006/23/V00024712,4,663,
3995,809178.00,2023-07-11,Jiřice - oprava plynového průmyslového kotle,Středočeský kraj,N006/23/V00019519,120,3041,
3996,94622.00,2023-09-07,MT 39 020/ÚP85/LÚ7/PČ,Jihočeský kraj,N006/23/V00023848,11,3044,
3997,90000.00,,"Zpracování studie proveditelnosti projektu KŘP Omk OOP Mohelnice, Gen. Svobody 473/22",Olomoucký kraj,N006/23/V00024781,34,3045,
3998,4150.00,2023-09-07,"Převzetí odpadů jinou oprávněnou osobou a odstranění odpadů, výzva č. 100/2023",Jihomoravský kraj,N006/23/V00024859,4,3039,
3999,8646.00,,PB – nákup PC materiálu dle přílohy - kopie - kopie,Středočeský kraj,N006/23/V00023402,30,822,
4000,617000.00,2023-07-03,VZ č. 2/2023 Záchranářské obvazy,Česká republika,N006/23/V00002865,4,65,
4001,26290.08,2023-09-07,10.DP RD 22105001737 Běžná oprava nástavby T815 CAS,Česká republika,N006/23/V00024366,4,133,
4002,584939.66,2023-08-04,Plavidlo s motorem,Zlínský kraj,N006/23/V00020233,15,3047,
4003,1726930.00,2023-04-26,Ventilátor pro invazivní UPV,Hlavní město Praha,N006/23/V00011136,33,2078,
4004,1091179.85,2023-04-26,Polohovací nemocniční lůžka,Hlavní město Praha,N006/23/V00011161,33,743,
4005,471305.00,2023-06-09,Zajištění realizace akcí projektů Euroguidance a EAAL,Hlavní město Praha,N006/23/V00015578,78,581,
4006,739024.00,2022-02-08,komplexní správa ICT v NPÚ ÚOP v Josefově,Královéhradecký kraj,N006/21/V00020577,17,3048,
4007,1850.00,2023-09-06,DNS02-23-A-23 Dodávka externího přenosného SSD 1 TB,Jihomoravský kraj,N006/23/V00022682,106,759,
4008,159300.00,2023-09-06,Výzva č. 4/2023 - Výroba a dodání publikace,Hlavní město Praha,N006/23/V00022841,4,3050,
4009,387200.00,2023-08-16,"Chrániče sluchu, náhradní díly a příslušenství",Olomoucký kraj,N006/23/V00022610,4,63,
4010,597000.00,2023-09-06,Výzva č. 3/2023 - Výroba a dodání publikací,Hlavní město Praha,N006/23/V00022202,4,3050,
4011,129742.00,,Dodávka a instalace dveřního informačního systému pro MPO,Hlavní město Praha,N006/23/V00024454,353,3053,
4012,7369.40,2023-08-11,Spojovací materiál,Olomoucký kraj,N006/23/V00022512,4,104,
4013,8000.00,2023-09-06,OL-servisní prohlídka autom. dveří Prostějov č. 226,,N006/23/V00024833,30,3055,
4014,3098746.51,2022-10-18,NPÚ SZ Litomyšl – oprava hygienického zařízení pro veřejnost ve východním křídle zámku,Pardubický kraj,N006/22/V00026630,17,3056,
4015,2400.00,2023-09-06,Výzva č. 7 k RD č. 23105001537 - sanitár 2023,Česká republika,N006/23/V00024312,4,3058,
4016,5945000.00,2023-06-29,"Analytické nástroje ke zpracování ekonomicko – medicínských dat RBP, zdravotní pojišťovny",Česká republika,N006/23/V00018337,435,3059,
4017,950000.00,2023-09-06,Výstavba kanalizace v obci Slavětín – zpracování PD,,N006/23/V00024831,436,3060,
4018,968418.00,2022-12-09,Maintenance k zařízení a software datového centra MZA_2023,Jihomoravský kraj,N006/22/V00033516,437,418,
4019,362080.00,2019-09-06,"Servisní služby, revize, prohlídky a zkoušky výtahů v rámci HZS Středočeského kraje",Středočeský kraj,N006/19/V00019239,12,2740,
4020,6392000.00,2023-09-06,Technické zhodnocení mobilního dohledového a řídícího pracoviště (MOVEL),Středočeský kraj,N006/23/V00019684,438,2789,
4021,4224.00,2023-09-06,"DP - výzva k RD č.23225011654, RD č.2022018 kultivační média",Hlavní město Praha,N006/23/V00024478,4,1587,
4022,1599830.00,2022-01-07,"Realizace překlenovacího ochranného sanačního čerpání na Ohnisku 3 lokality Hluk společnosti Autopal Services, s.r.o.",,N006/22/V00000334,42,332,
4023,87498624.50,2022-11-22,Maleč - čistírna odpadních vod a kanalizace a Maleč - rekonstrukce vodovodu v průtahu obcí,Kraj Vysočina,N006/22/V00031657,383,336,
4024,223849299.00,2020-06-11,Centrální polytechnické dílny a Galerie města Pardubic,Pardubický kraj,N006/20/V00013374,5,1608,
4025,8629.00,2023-09-06,"DP - Výzva k RD č. 23225011840, RD č.2022018 kultivační média",Hlavní město Praha,N006/23/V00024724,4,1587,
4026,2297893.86,2022-09-30,Vybudování veřejného osvětlení na průtahu - etapa II.,Plzeňský kraj,N006/22/V00025899,439,3062,
4027,74859236.64,2022-08-08,VZ Úklid vnitřních prostorů budov a venkovní údržba - Jižní Čechy,Jihočeský kraj,N006/22/V00001436,4,639,
4028,47071.00,2023-06-09,Kuchyňský nábytek,Pardubický kraj,N006/23/V00013491,212,604,
4029,2699000.00,2022-07-04,Týniště nad Orlicí - hasičská stanice - výstavba - PD,Česká republika,N006/22/V00013749,4,1323,
4030,2267750.00,2023-04-28,Bezpečnostní appliance pro monitoring síťového provozu,Jihomoravský kraj,N006/23/V00011698,4,399,
4031,422765.73,2023-06-14,"Výměna přívodního kabelu z rozvodny NN do rozvaděče konferenčních prostor, budova B, Letesnká 525/15, Praha 1",,N006/23/V00016958,42,3068,
4032,5728000.00,2022-11-04,Úpravna vody včetně servisu a dodávek SZM,Hlavní město Praha,N006/22/V00029268,33,2108,
